Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.42771084337349397, Average: 0.40602409638554215, Time: 1.2136476
Population Size: 50, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.43373493975903615, Average: 0.32721796276013143, Time: 4.1405342
Population Size: 100, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.44359255202628695, Average: 0.3047097480832421, Time: 7.9751837
Population Size: 500, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.44359255202628695, Average: 0.3116078860898143, Time: 36.9812565
Population Size: 10, Tournament Size: 6, Mutation Count: 1, Generations: 10, Best: 0.4414019715224535, Average: 0.4332968236582694, Time: 1.6466824999999972
Population Size: 50, Tournament Size: 6, Mutation Count: 1, Generations: 10, Best: 0.43921139101861995, Average: 0.326276013143483, Time: 4.536759500000002
Population Size: 100, Tournament Size: 6, Mutation Count: 1, Generations: 10, Best: 0.4348302300109529, Average: 0.30357612267250816, Time: 8.195778699999998
Population Size: 500, Tournament Size: 6, Mutation Count: 1, Generations: 10, Best: 0.44359255202628695, Average: 0.3072081051478644, Time: 37.427235499999995
Population Size: 10, Tournament Size: 3, Mutation Count: 2, Generations: 10, Best: 0.42771084337349397, Average: 0.3317086527929901, Time: 1.244206399999996
Population Size: 50, Tournament Size: 3, Mutation Count: 2, Generations: 10, Best: 0.4348302300109529, Average: 0.3061226725082147, Time: 4.199504399999995
Population Size: 100, Tournament Size: 3, Mutation Count: 2, Generations: 10, Best: 0.4419496166484118, Average: 0.3137951807228916, Time: 7.772018899999992
Population Size: 500, Tournament Size: 3, Mutation Count: 2, Generations: 10, Best: 0.4452354874041621, Average: 0.31206462212486374, Time: 36.763887800000006
Population Size: 10, Tournament Size: 6, Mutation Count: 2, Generations: 10, Best: 0.42771084337349397, Average: 0.40394304490690036, Time: 1.603248199999996
Population Size: 50, Tournament Size: 6, Mutation Count: 2, Generations: 10, Best: 0.42880613362541076, Average: 0.2987951807228916, Time: 4.574522300000012
Population Size: 100, Tournament Size: 6, Mutation Count: 2, Generations: 10, Best: 0.4353778751369113, Average: 0.3073274917853231, Time: 8.293163300000003
Population Size: 500, Tournament Size: 6, Mutation Count: 2, Generations: 10, Best: 0.44359255202628695, Average: 0.3104446878422779, Time: 37.46899300000001
Population Size: 10, Tournament Size: 3, Mutation Count: 3, Generations: 10, Best: 0.4134720700985761, Average: 0.2963855421686747, Time: 1.2635761999999886
Population Size: 50, Tournament Size: 3, Mutation Count: 3, Generations: 10, Best: 0.44468784227820374, Average: 0.30284775465498354, Time: 4.218158200000005
Population Size: 100, Tournament Size: 3, Mutation Count: 3, Generations: 10, Best: 0.43866374589266155, Average: 0.31753012048192775, Time: 7.782218599999993
Population Size: 500, Tournament Size: 3, Mutation Count: 3, Generations: 10, Best: 0.4403066812705367, Average: 0.3082617743702085, Time: 36.92871779999999
Population Size: 10, Tournament Size: 6, Mutation Count: 3, Generations: 10, Best: 0.42771084337349397, Average: 0.39041621029572837, Time: 1.6698949999999968
Population Size: 50, Tournament Size: 6, Mutation Count: 3, Generations: 10, Best: 0.43811610076670315, Average: 0.32173055859802846, Time: 4.524419000000023
